date,amount,description,category
2025-04-25,-1925.2261191648872,consultant salary,salary
2023-04-10,-2072.9346078212056,consultant salary,salary
2025-12-09,-116.14859883174239,office supplies,office
2024-01-08,-2312.0929627665755,monthly office rent,rent
2024-12-11,-756.0930199846769,campaign spend,marketing
2025-07-02,-147.87442518405814,stationery purchase,office
2025-03-04,-2495.949218178994,warehouse lease payment,rent
2025-05-28,-760.5533413373877,hotel booking,travel
2024-02-23,-747.195760125819,hotel booking,travel
2022-03-05,-304.88414847083203,internet bill,utilities
2023-12-22,-1006.0824963666744,campaign spend,marketing
2022-09-23,-250.48331936862496,electricity payment,utilities
2025-07-22,-269.59770150759846,water service charge,utilities
2022-12-12,-311.5884539509406,electricity payment,utilities
2022-11-30,-822.5960665266524,campaign spend,marketing
2022-12-31,-727.2594732913063,flight ticket,travel
2024-07-27,-256.3587980673715,water service charge,utilities
2024-04-14,-172.09297153389306,printer ink,office
2025-10-18,-1015.4960711426577,social media ads,marketing
2023-09-01,-111.16202156993603,stationery purchase,office
2023-02-17,-1158.6012972033143,social media ads,marketing
2022-03-13,-361.9219499207917,internet bill,utilities
2022-01-11,-985.6346841259486,social media ads,marketing
2023-06-30,-1913.5372527279605,employee payroll,salary
2025-09-14,-1944.1249037079863,consultant salary,salary
2024-02-05,-324.08650049837604,internet bill,utilities
2025-07-29,-182.90529115921845,stationery purchase,office
2022-05-29,-620.9484224493675,hotel booking,travel
2022-05-17,-262.0571560489799,internet bill,utilities
2025-05-02,-286.5486831337132,internet bill,utilities
2022-06-05,-1617.4857089321306,consultant salary,salary
2022-03-17,-699.0368089408764,flight ticket,travel
2023-08-14,-305.2319990389665,water service charge,utilities
2025-09-13,-497.9279161136798,client visit transport,travel
2024-10-04,-374.89603769985905,electricity payment,utilities
2022-05-25,-2047.1109447113975,staff wage transfer,salary
2025-05-08,-127.93485087763293,printer ink,office
2025-05-17,-344.8060602078813,internet bill,utilities
2025-03-15,-2315.024577310338,monthly office rent,rent
2025-08-11,-275.0551497915424,electricity payment,utilities
2022-12-17,-675.7794082500343,hotel booking,travel
2025-12-02,-2471.7251713202268,building rent,rent
2023-04-14,-1845.325998745104,employee payroll,salary
2025-03-17,-2282.3515131780237,building rent,rent
2024-04-26,-623.1595935963068,hotel booking,travel
2025-02-12,-1041.110475488794,campaign spend,marketing
2024-07-06,-162.77374822318578,printer ink,office
2024-07-27,-264.62103291061885,electricity payment,utilities
2024-06-19,-128.04035886838383,stationery purchase,office
2025-02-12,-1413.651864917425,employee payroll,salary
2024-12-15,-715.2566318417075,promotional expense,marketing
2022-07-16,2287.5688401707666,customer payment received,income
2025-04-21,-687.3241523262021,campaign spend,marketing
2024-02-23,-882.9676984818184,social media ads,marketing
2023-04-18,-735.6585276886897,hotel booking,travel
2024-01-22,-2196.5326461851287,employee payroll,salary
2025-11-13,-633.5488260264848,hotel booking,travel
2025-06-06,-486.9632840854288,campaign spend,marketing
2025-05-03,-174.43665560878077,printer ink,office
2023-11-08,-138.52187889869757,printer ink,office
2025-02-19,-1387.0853606788303,staff wage transfer,salary
2023-07-17,-639.9145458803362,client visit transport,travel
2024-09-29,6376.762288262622,customer payment received,income
2024-07-23,-1044.9381234335715,social media ads,marketing
2022-12-31,394.82388836017344,customer payment received,income
2023-01-25,-3341.0603581039127,monthly office rent,rent
2022-03-31,-838.8305764391821,flight ticket,travel
2022-07-24,-168.70393130889923,office supplies,office
2023-09-26,-141.08080870034098,office supplies,office
2023-11-30,-259.77905643290444,electricity payment,utilities
2022-08-30,-2217.8561002327456,monthly office rent,rent
2023-09-02,-150.04316400020372,office supplies,office
2024-06-01,-143.17199473162492,stationery purchase,office
2022-12-06,-685.1260467739423,client visit transport,travel
2023-05-10,-158.93687197313417,office supplies,office
2023-06-21,6771.236022812485,customer payment received,income
2024-01-08,-655.7302328594678,hotel booking,travel
2023-06-20,-2748.6901564887867,monthly office rent,rent
2024-12-12,-164.90050843480333,office supplies,office
2023-04-24,-767.856418932978,social media ads,marketing
2023-09-26,-148.23110243553478,office supplies,office
2023-07-09,-615.1024862917881,hotel booking,travel
2022-09-25,-2710.16830367289,monthly office rent,rent
2024-09-28,-2117.0416415428253,warehouse lease payment,rent
2022-12-10,-324.1693645304751,internet bill,utilities
2023-03-10,-894.440697252861,campaign spend,marketing
2025-03-04,-2071.5290414537067,building rent,rent
2025-10-18,-176.98013533826767,printer ink,office
2024-09-07,-1653.1532088897113,staff wage transfer,salary
2025-08-31,-215.043421281174,water service charge,utilities
2025-06-01,-1800.3023249394303,employee payroll,salary
2023-12-04,-283.9185762529947,electricity payment,utilities
2025-01-30,-212.49309934828972,water service charge,utilities
2023-04-25,-1813.392141716288,warehouse lease payment,rent
2023-11-04,-807.0748194650537,hotel booking,travel
2024-02-22,-997.4692628644561,social media ads,marketing
2025-11-04,-144.9534885131192,stationery purchase,office
2025-05-24,4308.943731302432,customer payment received,income
2023-12-16,-165.21555069068134,stationery purchase,office
2024-08-11,-131.98381976243274,stationery purchase,office
2022-10-23,-143.77155609005652,stationery purchase,office
2025-03-21,-314.0237745277374,electricity payment,utilities
2024-03-18,-166.78762086621134,office supplies,office
2024-02-18,-576.2905904541956,client visit transport,travel
2025-01-24,-2103.855405238419,warehouse lease payment,rent
2024-07-13,-2539.6739430181597,consultant salary,salary
2022-04-16,-1138.5398562475573,social media ads,marketing
2023-02-25,6084.718982488344,customer payment received,income
2022-09-16,578.2104823911828,customer payment received,income
2024-12-09,-729.2034073590759,social media ads,marketing
2022-02-21,7083.564957342087,customer payment received,income
2022-10-23,-305.94455457659063,internet bill,utilities
2024-05-22,-1738.6660444353843,consultant salary,salary
2024-10-12,-655.6409204550912,client visit transport,travel
2024-01-06,-1603.9721610794318,staff wage transfer,salary
2025-06-11,283.7731299249225,customer payment received,income
2025-09-04,-2216.926790322234,warehouse lease payment,rent
2022-07-13,-157.3826813519987,stationery purchase,office
2025-10-23,-1239.6728514293234,campaign spend,marketing
2024-06-16,-172.90764625917043,printer ink,office
2024-07-18,-138.04747735666692,printer ink,office
2022-05-19,-1750.2209890625707,employee payroll,salary
2024-06-27,-106.10377163954942,stationery purchase,office
2024-11-26,-702.880502189291,hotel booking,travel
2024-04-28,-143.15020073668916,printer ink,office
2022-05-04,-149.36264823563383,stationery purchase,office
2024-02-04,-867.9946800788562,flight ticket,travel
2025-09-29,-330.6726548638695,water service charge,utilities
2024-11-22,-1738.2249382080613,building rent,rent
2022-07-20,-2114.4799129753064,monthly office rent,rent
2025-11-03,-302.3986291046019,water service charge,utilities
2025-11-01,-978.8439599849711,campaign spend,marketing
2022-09-05,-687.4919874165408,hotel booking,travel
2025-03-16,-335.2916329011831,electricity payment,utilities
2023-08-18,-1833.7619922821686,staff wage transfer,salary
2024-05-17,-458.53527269044196,client visit transport,travel
2023-10-13,-709.42173084072,hotel booking,travel
2025-02-17,-154.401502443173,stationery purchase,office
2025-12-27,-864.9961683927875,campaign spend,marketing
2025-03-07,-746.9426221461258,hotel booking,travel
2025-09-22,-145.26296990724194,office supplies,office
2025-10-14,-290.0107750045678,internet bill,utilities
2022-05-12,-118.86629187315752,office supplies,office
2023-01-06,-226.76693972408913,electricity payment,utilities
2024-11-20,-2522.1408314893956,monthly office rent,rent
2024-05-12,-321.84282913113555,electricity payment,utilities
2022-03-15,-2787.4231878241258,warehouse lease payment,rent
2022-05-19,2864.2766580864095,customer payment received,income
2024-01-31,-131.5624296160973,stationery purchase,office
2024-06-19,-731.3819359220781,social media ads,marketing
2022-09-03,-1614.3231100181988,consultant salary,salary
2022-09-08,-184.826238736648,office supplies,office
2022-07-08,-2599.5100406178453,warehouse lease payment,rent
2024-04-05,-2332.8943226303227,consultant salary,salary
2022-01-12,-756.8558273547413,promotional expense,marketing
2024-04-16,-1600.2995746536283,employee payroll,salary
2023-11-27,-581.4307888655023,social media ads,marketing
2023-11-12,-159.475942109786,printer ink,office
2024-09-19,-2455.5009363535014,warehouse lease payment,rent
2024-02-03,-2712.517384491306,monthly office rent,rent
2024-11-29,-164.19663593547293,office supplies,office
2025-01-21,1223.9835752161687,customer payment received,income
2025-09-06,-914.6964676155062,hotel booking,travel
2025-03-13,-232.44438612777554,water service charge,utilities
2024-01-27,-281.9132272614534,internet bill,utilities
2023-12-21,-923.0053037267226,social media ads,marketing
2022-12-11,-698.6101493558247,client visit transport,travel
2024-05-26,-3009.3487730720462,building rent,rent
2022-07-23,-788.2996595603981,client visit transport,travel
2025-09-22,-913.4776683668858,promotional expense,marketing
2025-05-19,-2285.552806511234,warehouse lease payment,rent
2022-06-24,-283.92920956779056,internet bill,utilities
2025-02-22,-752.6362113840412,social media ads,marketing
2022-06-21,-685.3932673250329,client visit transport,travel
2024-11-19,-2535.956350962239,warehouse lease payment,rent
2022-05-09,-2526.9994721649205,building rent,rent
2023-12-15,1324.7556181278983,customer payment received,income
2024-08-19,-340.04117952067844,electricity payment,utilities
2024-11-30,-161.0755594972212,office supplies,office
2023-09-04,-739.2189697039889,flight ticket,travel
2025-09-08,-139.08067613107934,office supplies,office
2025-02-05,-1559.974541290745,employee payroll,salary
2022-11-01,-235.93982374807354,internet bill,utilities
2024-09-07,-2850.339649055485,monthly office rent,rent
2024-12-03,1583.2412858967355,customer payment received,income
2023-05-03,-1921.817346454642,employee payroll,salary
2024-12-14,-351.22470271324244,internet bill,utilities
2025-08-05,-321.35308201285676,electricity payment,utilities
2025-04-08,-1981.3988897355255,staff wage transfer,salary
2025-01-19,3147.996170674045,customer payment received,income
2024-07-16,-679.0800056688299,hotel booking,travel
2023-01-31,-146.1635658145579,office supplies,office
2025-03-07,-1878.317758963058,employee payroll,salary
2023-06-17,-288.4578609700407,electricity payment,utilities
2024-02-17,-1682.4814315638127,consultant salary,salary
2023-04-05,-1014.1182627719718,promotional expense,marketing
2023-04-03,-261.3429273820019,electricity payment,utilities
2022-08-19,-185.3496992078389,printer ink,office
2025-11-05,3087.1462947860027,customer payment received,income
2022-08-04,-2821.4411514165363,building rent,rent
2022-05-07,-700.938056128657,flight ticket,travel
2025-09-29,-832.1746782668554,hotel booking,travel
2024-03-21,-126.41933450361182,printer ink,office
2023-10-02,-174.94806693610587,stationery purchase,office
2024-12-13,-144.83714179968533,office supplies,office
2023-07-15,-749.4362740664313,flight ticket,travel
2022-07-06,-266.73032884462935,water service charge,utilities
2024-12-02,-340.74143457068243,water service charge,utilities
2022-09-15,-2442.220002944174,monthly office rent,rent
2024-03-18,-244.28278643295675,water service charge,utilities
2025-10-18,-329.92777741627305,internet bill,utilities
2025-09-29,-2794.053360051403,monthly office rent,rent
2023-06-12,-1306.923476335164,staff wage transfer,salary
2025-02-14,-560.5097248668683,hotel booking,travel
2024-06-14,-329.5418748068426,internet bill,utilities
2023-12-02,-136.6952836008191,office supplies,office
2022-07-24,-345.72074382336996,electricity payment,utilities
2023-07-04,-132.42342288246581,stationery purchase,office
2024-08-10,-589.4723361503661,client visit transport,travel
2025-12-12,-2483.2531446387,monthly office rent,rent
2022-01-08,-1595.2446811861023,staff wage transfer,salary
2024-11-14,-1074.6231560106808,social media ads,marketing
2025-05-21,-785.362272587219,flight ticket,travel
2025-10-21,-1471.8197475456227,employee payroll,salary
2023-09-12,-530.321845462985,flight ticket,travel
2022-06-23,-143.5359578766818,office supplies,office
2023-01-31,720.6304260504741,customer payment received,income
2025-05-27,-2557.46161009683,monthly office rent,rent
2025-07-06,-2022.5152947616587,consultant salary,salary
2024-07-19,-142.49514723818538,office supplies,office
2022-06-29,-874.9557036110596,social media ads,marketing
2022-06-28,-137.71248380491994,printer ink,office
2023-11-30,-144.5405038952131,printer ink,office
2024-05-09,-2516.0061610853036,building rent,rent
2022-02-17,-1688.519323289952,staff wage transfer,salary
2024-09-29,-2361.360277885326,building rent,rent
2024-03-06,-2249.3433680177463,building rent,rent
2022-01-18,-148.83377777266094,printer ink,office
2022-05-20,-164.0310564666606,stationery purchase,office
2023-10-26,6300.72623704244,customer payment received,income
2024-11-21,-729.120385102515,social media ads,marketing
2025-04-20,-643.5694453061296,client visit transport,travel
2023-09-23,-1760.4265180210698,building rent,rent
2023-03-08,-81.78534566001073,stationery purchase,office
2025-11-15,-155.11941184567246,office supplies,office
2023-11-01,-741.7666809637219,flight ticket,travel
2023-04-06,-849.7360493918588,campaign spend,marketing
2023-10-09,-305.12623768738877,water service charge,utilities
2022-01-18,-660.1428206391213,social media ads,marketing
2023-03-18,-287.82815762504106,internet bill,utilities
2024-01-24,-170.45244812655864,printer ink,office
2025-09-03,-2550.260207803512,monthly office rent,rent
2024-12-14,-1964.2247269210675,employee payroll,salary
2025-02-15,-89.88532395547458,printer ink,office
2024-03-07,-1871.1388575483395,consultant salary,salary
2022-06-11,-1988.5197941277945,employee payroll,salary
2023-07-26,-906.9616583292889,campaign spend,marketing
2025-12-27,-1650.2049391341654,staff wage transfer,salary
2022-03-06,-628.9554720634649,client visit transport,travel
2025-07-08,-1708.0810802545827,employee payroll,salary
2024-09-27,-2036.5360553098562,staff wage transfer,salary
2023-02-19,-170.64845192625583,office supplies,office
2025-02-10,-2120.864990741533,staff wage transfer,salary
2025-05-07,-2241.770612132917,warehouse lease payment,rent
2022-03-05,-768.1501750529525,campaign spend,marketing
2022-06-05,-132.5218267755342,office supplies,office
2024-08-30,-3160.4835267409544,warehouse lease payment,rent
2025-12-30,-876.088822949321,campaign spend,marketing
2022-02-05,-634.1534919843376,client visit transport,travel
2024-08-30,-1033.2524458624798,social media ads,marketing
2022-07-19,-3061.7649157716423,building rent,rent
2024-08-07,-137.28936117135947,stationery purchase,office
2024-06-29,1264.8082895823827,customer payment received,income
2022-05-13,-172.07473576803483,stationery purchase,office
2024-09-21,-332.54560586733777,internet bill,utilities
2025-08-03,-180.64614369418467,printer ink,office
2025-06-15,1804.8390700899508,customer payment received,income
2022-02-12,-2467.654811415623,monthly office rent,rent
2022-12-26,-176.56337264445352,stationery purchase,office
2022-12-18,-757.0953698208549,social media ads,marketing
2023-10-25,4164.632696860597,customer payment received,income
2022-07-28,-592.4005429561689,hotel booking,travel
2025-06-02,-318.82207756637143,electricity payment,utilities
2025-02-08,-577.8329394978202,client visit transport,travel
2025-03-26,-156.88954677685982,stationery purchase,office
2022-10-17,-140.34827869963803,stationery purchase,office
2022-01-22,-1892.568056285656,consultant salary,salary
2025-08-23,-142.78988593846415,stationery purchase,office
2023-02-27,605.7548653156642,customer payment received,income
2024-08-16,-894.4371809844813,social media ads,marketing
2025-08-21,-908.304616746626,social media ads,marketing
2022-02-22,581.6518902934872,customer payment received,income
2022-01-08,-254.23603282929648,electricity payment,utilities
2022-01-08,944.8770949224405,customer payment received,income
2022-08-17,-122.81408642668875,printer ink,office
2022-03-17,-254.91747137027664,electricity payment,utilities
2025-04-12,-1414.7141128488533,consultant salary,salary
2024-06-04,-374.767721388233,water service charge,utilities
2025-12-02,-2297.9125218152317,employee payroll,salary
2025-03-16,-326.6390463478491,internet bill,utilities
2025-11-08,-2842.966104372757,warehouse lease payment,rent
2022-12-15,5618.879356608063,customer payment received,income
2023-02-25,-1096.1222688128898,social media ads,marketing
2025-05-25,-1933.7984938298819,monthly office rent,rent
2022-12-24,-812.9052799232443,flight ticket,travel
2022-03-25,-965.4386528091142,promotional expense,marketing
2024-09-04,-826.3178424202564,promotional expense,marketing
2025-03-16,-266.642320485674,electricity payment,utilities
2025-11-15,-1554.5269074022533,employee payroll,salary
2025-09-17,-124.94265659832078,office supplies,office
2022-06-25,-169.18559507928344,office supplies,office
2025-02-02,-672.8841503652911,flight ticket,travel
2025-05-21,-2318.079040423907,building rent,rent
2024-10-16,-2816.428741946771,building rent,rent
2025-04-12,-2164.4642013198436,employee payroll,salary
2025-05-09,7006.3027697763255,customer payment received,income
2023-10-15,-124.1390210784491,office supplies,office
2022-02-28,-2179.394377382779,consultant salary,salary
2023-10-29,-1539.1449861288913,consultant salary,salary
2022-10-22,-142.30492220802702,stationery purchase,office
2022-06-16,-987.4070228447351,campaign spend,marketing
2022-07-02,-2036.6725025294631,consultant salary,salary
2024-10-15,-315.1843389347779,electricity payment,utilities
2024-01-08,-814.6791443441306,client visit transport,travel
2024-02-28,-665.2954494983026,flight ticket,travel
2024-12-24,-161.03539861560847,printer ink,office
2024-03-12,405.6952125664166,customer payment received,income
2024-07-09,-150.87590701090892,stationery purchase,office
2022-05-06,-2617.390857222327,building rent,rent
2025-05-28,-1508.0083732002963,staff wage transfer,salary
2023-10-18,-734.2555865705019,flight ticket,travel
2022-08-15,-2641.4473280459015,warehouse lease payment,rent
2025-04-03,581.9627699004376,customer payment received,income
2024-12-09,-2139.589942704919,monthly office rent,rent
2022-03-19,-197.47388955479937,stationery purchase,office
2022-10-10,-2649.8950211086612,warehouse lease payment,rent
2022-01-24,-1846.141799765663,warehouse lease payment,rent
2023-01-31,-1950.4360423043368,staff wage transfer,salary
2022-05-27,-2010.8073635816684,monthly office rent,rent
2024-11-03,1234.0494761722473,customer payment received,income
2024-02-03,-361.1494760665357,internet bill,utilities
2025-12-03,-159.13800702309717,stationery purchase,office
2024-12-30,-2077.696145054143,employee payroll,salary
2024-06-12,-670.8788611293775,hotel booking,travel
2024-01-15,1881.5631332414875,customer payment received,income
2022-03-21,-761.2143577847271,client visit transport,travel
2022-04-13,-816.2497268192667,social media ads,marketing
2024-06-19,-1816.4492247711426,employee payroll,salary
2022-01-07,-746.3451427984247,hotel booking,travel
2022-03-03,4773.764873219456,customer payment received,income
2022-11-17,305.03064913883526,customer payment received,income
2025-07-15,-597.5210552693367,client visit transport,travel
2023-11-02,-375.7062195396702,hotel booking,travel
2024-11-02,414.0137869311588,customer payment received,income
2023-08-25,-626.0784171962263,hotel booking,travel
2022-09-10,-159.987786819422,office supplies,office
2023-06-27,-2689.813475009625,warehouse lease payment,rent
2022-05-15,-307.83785529995396,electricity payment,utilities
2025-01-30,-2448.1662154471364,warehouse lease payment,rent
2022-09-26,-2176.318472985948,building rent,rent
2023-07-04,-307.2774451368561,internet bill,utilities
2025-12-02,-1493.475822453639,staff wage transfer,salary
2024-05-14,-265.17489685905605,water service charge,utilities
2023-11-01,-314.09192725087263,internet bill,utilities
2024-03-04,-682.6208764882399,client visit transport,travel
2025-02-19,-129.52271636385515,stationery purchase,office
2023-01-07,-143.61211497355185,printer ink,office
2024-07-18,-297.1138438929831,water service charge,utilities
2025-06-29,-1981.9399558087514,consultant salary,salary
2024-04-16,-897.4361898035854,campaign spend,marketing
2023-10-15,-2513.004718756971,building rent,rent
2022-08-01,-741.7357501675903,flight ticket,travel
2022-12-29,-297.47074561098816,electricity payment,utilities
2025-10-14,-1866.6424247881282,consultant salary,salary
2024-03-01,-648.7609060655184,hotel booking,travel
2023-03-17,-2239.571397766827,employee payroll,salary
2023-09-04,-1894.0058435259023,staff wage transfer,salary
2024-04-24,-522.8069308539029,flight ticket,travel
2024-02-25,-1588.8253754444202,consultant salary,salary
2024-10-19,-931.3695773158641,campaign spend,marketing
2023-01-12,-2403.7621070944265,warehouse lease payment,rent
2024-08-06,-275.73129511757065,internet bill,utilities
2023-10-09,-1023.8016077722027,promotional expense,marketing
2025-10-06,-1686.5128359604453,staff wage transfer,salary
2022-08-19,-788.534421304006,promotional expense,marketing
2022-08-05,-946.5961770777913,campaign spend,marketing
2023-11-06,-210.83589780165016,printer ink,office
2024-01-13,-1459.8405320344355,employee payroll,salary
2024-10-06,-970.7960105510908,promotional expense,marketing
2023-08-14,-146.27372661976534,stationery purchase,office
2025-08-27,-907.5526333261112,campaign spend,marketing
2023-11-24,-1741.8128482885259,consultant salary,salary
2022-07-08,-1025.3237576565186,social media ads,marketing
2022-06-24,-2980.6942178982495,monthly office rent,rent
2025-11-23,-696.8493134542513,flight ticket,travel
2022-07-15,805.4925345654765,customer payment received,income
2025-10-16,-686.9067858466086,flight ticket,travel
2023-02-11,-861.3085929746458,flight ticket,travel
2022-05-17,-3053.952986297887,building rent,rent
2023-03-22,-700.8693878126066,hotel booking,travel
2024-06-17,-163.68557881198012,stationery purchase,office
2023-09-18,-312.5649413645258,water service charge,utilities
2025-02-21,-2060.5534356904677,employee payroll,salary
2024-06-11,-144.91815368287757,office supplies,office
2023-08-09,-2378.168230440781,monthly office rent,rent
2024-07-16,-330.10092030015386,electricity payment,utilities
2025-11-20,-707.715259466992,hotel booking,travel
2023-08-25,-301.0540331640367,internet bill,utilities
2022-08-13,-161.2639082847447,stationery purchase,office
2023-08-21,-322.9875551573857,electricity payment,utilities
2025-05-12,-174.15830428615052,office supplies,office
2022-11-14,-2798.37956562647,building rent,rent
2025-10-18,-1041.3573823034712,promotional expense,marketing
2024-05-09,-636.8853570714991,hotel booking,travel
2024-05-28,3914.769675534153,customer payment received,income
2023-04-09,-2301.7255187703845,consultant salary,salary
2025-09-06,-966.7358932746637,social media ads,marketing
2022-02-22,-613.3815215905192,client visit transport,travel
2023-03-13,-774.869943577588,hotel booking,travel
2023-09-04,-3068.384470567552,building rent,rent
2023-11-29,-831.0009189100982,hotel booking,travel
2023-11-24,-112.39977235732694,office supplies,office
2022-08-05,-2314.9630044311143,warehouse lease payment,rent
2022-11-26,-369.5560621761102,electricity payment,utilities
2022-05-20,-301.81540739403056,water service charge,utilities
2024-04-16,-195.50505876097827,office supplies,office
2023-05-28,-1765.0594250381155,consultant salary,salary
2024-04-06,-349.7625831968453,water service charge,utilities
2024-05-11,-891.1531015879432,campaign spend,marketing
2024-10-22,-2145.8440492973978,warehouse lease payment,rent
2024-03-10,-881.5586917932854,promotional expense,marketing
2024-08-04,-898.9208060109102,campaign spend,marketing
2024-05-07,-915.5702242989904,promotional expense,marketing
2024-08-11,-802.7362924043506,client visit transport,travel
2024-06-19,-520.0495938090683,campaign spend,marketing
2023-04-07,-848.5880508669142,promotional expense,marketing
2022-12-26,-138.18534058561656,printer ink,office
2025-02-24,-264.3371664747327,water service charge,utilities
2023-05-16,-372.2275190551766,internet bill,utilities
2024-03-13,-735.7941408417269,client visit transport,travel
2022-10-15,-1771.0681303333827,staff wage transfer,salary
2023-09-23,-138.16045459221235,printer ink,office
2024-02-13,-987.9355291591196,promotional expense,marketing
2024-07-03,-729.8303955628822,client visit transport,travel
2024-02-09,-1280.24654353132,staff wage transfer,salary
2023-06-11,-297.90690734033666,internet bill,utilities
2025-11-06,-297.12100298840153,water service charge,utilities
2024-01-20,-583.8693393922074,hotel booking,travel
2025-03-26,1473.1084687779498,customer payment received,income
2024-12-12,-767.8899634052298,promotional expense,marketing
2024-03-26,344.1082688552752,customer payment received,income
2025-07-19,-185.57949258399734,stationery purchase,office
2022-07-07,-804.9343034083724,campaign spend,marketing
2025-09-07,-267.5448582240094,water service charge,utilities
2025-05-27,1101.476093941912,customer payment received,income
2024-01-06,-289.365407308731,electricity payment,utilities
2024-12-07,-799.0317920587859,hotel booking,travel
2024-01-31,-795.7514505574119,promotional expense,marketing
2023-01-28,-295.41807241035156,electricity payment,utilities
2025-03-14,-838.0780560814641,flight ticket,travel
2022-12-26,-3017.93647430904,warehouse lease payment,rent
2023-04-05,-621.3742376863497,campaign spend,marketing
2024-01-29,-238.6893790199904,internet bill,utilities
2025-05-08,460.17556042190364,customer payment received,income
2023-07-15,-601.677956213462,flight ticket,travel
2023-12-23,-1881.8644365118344,consultant salary,salary
2022-03-02,967.7796243824741,customer payment received,income
2022-06-19,1892.4888370353585,customer payment received,income
2022-03-23,-272.51660298917125,electricity payment,utilities
2022-04-16,-2583.5583159089542,warehouse lease payment,rent
2025-06-22,-248.7919453769978,electricity payment,utilities
2025-05-15,-1934.7131384897255,consultant salary,salary
2025-04-15,-259.97941858024427,internet bill,utilities
2022-03-23,-562.4458322489702,client visit transport,travel
2022-04-24,-2172.121589332605,monthly office rent,rent
2023-02-14,-801.0573447459328,campaign spend,marketing
2024-04-05,-1728.3072647385525,employee payroll,salary
2023-05-04,-155.33834367969155,office supplies,office
2023-12-14,-1063.669719563063,promotional expense,marketing
2022-09-10,-1876.1439101225067,consultant salary,salary
2024-12-03,-674.6475232417449,flight ticket,travel
2023-04-04,-2515.6739604533172,building rent,rent
2022-04-08,-2123.696390920876,monthly office rent,rent
2024-12-21,-155.20755294799778,stationery purchase,office
2025-08-11,-819.7168214650252,campaign spend,marketing
2022-01-22,-2004.1990397205711,warehouse lease payment,rent
2023-09-30,-1628.3222986681983,staff wage transfer,salary
2025-04-23,-1756.3883439184615,staff wage transfer,salary
2024-10-28,-225.83495271792543,water service charge,utilities
2025-06-05,-1679.1169418743316,staff wage transfer,salary
2023-08-30,-1652.6127138104307,employee payroll,salary
2023-06-28,-646.3756653325811,flight ticket,travel
2024-11-02,-2176.335491049349,employee payroll,salary
2022-08-13,-125.79623323138068,stationery purchase,office
2022-12-16,-851.8379008083716,social media ads,marketing
2024-05-27,-839.7277621318997,campaign spend,marketing
2024-09-03,-1816.2249068938854,employee payroll,salary
2022-06-24,-811.3294988927814,campaign spend,marketing
2024-01-13,-166.36577416483047,office supplies,office
2023-06-18,-1884.3124125437962,employee payroll,salary
2024-01-04,-1114.0564555710346,campaign spend,marketing
2025-11-01,-229.43070988212756,internet bill,utilities
2022-04-22,-848.0623525309934,campaign spend,marketing
2025-12-25,-369.3159469131785,internet bill,utilities
2023-10-19,-915.1421265149288,promotional expense,marketing
2025-02-02,-2570.0343005516324,warehouse lease payment,rent
2023-09-13,-241.18502009681927,electricity payment,utilities
2023-03-31,-1672.7623763816086,employee payroll,salary
2025-01-30,-2160.644537512234,consultant salary,salary
2024-10-01,-1890.431650063874,consultant salary,salary
2022-07-30,-261.16083958750914,internet bill,utilities
2024-10-27,-2433.606494683783,building rent,rent
2025-01-05,-852.4796012184197,promotional expense,marketing
2023-07-21,-657.5227547259535,client visit transport,travel
2025-09-14,-935.9636051509887,social media ads,marketing
2024-07-25,-683.2597433228148,social media ads,marketing
2023-05-03,-2106.642675114459,warehouse lease payment,rent
2022-01-16,-2286.83338540202,warehouse lease payment,rent
2024-09-13,-333.4205484615519,internet bill,utilities
2022-11-02,-253.47857513704608,internet bill,utilities
2025-01-10,-2260.1068989247997,employee payroll,salary
2024-02-07,-934.1175121973629,promotional expense,marketing
2023-11-13,-722.2123933234556,client visit transport,travel
2022-08-28,-821.5381603807759,social media ads,marketing
2024-11-05,-2809.8786913108406,warehouse lease payment,rent
2022-08-31,-884.6949773665948,social media ads,marketing
2023-09-03,4090.086261691179,customer payment received,income
2025-05-06,-237.84244429984835,electricity payment,utilities
2025-09-06,-224.55323407894366,water service charge,utilities
2025-12-16,-1060.69637090273,social media ads,marketing
2025-10-31,-1667.5361363369102,consultant salary,salary
2024-03-23,-1604.058844503945,employee payroll,salary
2022-10-20,-264.67705700904366,electricity payment,utilities
2025-05-10,-303.2585552473745,internet bill,utilities
2025-03-17,-1964.259223894085,employee payroll,salary
2025-12-17,-1708.2967229873952,employee payroll,salary
2024-08-09,-1749.7657322139091,employee payroll,salary
2022-07-26,-360.18946619818024,water service charge,utilities
2024-01-05,-270.97424898082227,electricity payment,utilities
2023-10-17,-296.469744114994,internet bill,utilities
2025-05-16,-908.324818092883,social media ads,marketing
2023-07-28,-1251.2690033282088,consultant salary,salary
2023-04-26,-173.03207463824754,office supplies,office
2022-04-27,-1007.9537520101819,social media ads,marketing
2025-05-05,-1947.6912746281487,staff wage transfer,salary
2025-01-08,-1436.222724764339,staff wage transfer,salary
2022-03-02,-1313.732537814041,employee payroll,salary
2023-09-26,3010.795796979519,customer payment received,income
2023-12-02,-187.82675100126667,internet bill,utilities
2023-11-17,-2714.1759678849016,monthly office rent,rent
2025-09-04,-3165.6036417170226,monthly office rent,rent
2022-08-09,-256.4289483432918,internet bill,utilities
2023-03-24,-573.5962526242798,campaign spend,marketing
2022-09-22,-1406.2938819806404,staff wage transfer,salary
2022-12-23,-148.42195083676214,office supplies,office
